skill_1,skill_2,posting_count,percentage
Python,SQL,12,57.1
SQL,Statistics,12,57.1
Python,Statistics,11,52.4
Collaboration,Python,8,38.1
Communication,SQL,8,38.1
Communication,Python,7,33.3
Communication,Statistics,6,28.6
Data Pipelines,Python,6,28.6
Data Pipelines,SQL,6,28.6
Data Quality,Python,6,28.6
Data Quality,SQL,6,28.6
Machine Learning,Python,6,28.6
Collaboration,Communication,5,23.8
Collaboration,SQL,5,23.8
Communication,Machine Learning,5,23.8
Data Pipelines,Statistics,5,23.8
Data Quality,Statistics,5,23.8
Forecasting,Machine Learning,5,23.8
Collaboration,Statistics,4,19.0
Data Pipelines,Data Quality,4,19.0
Forecasting,Git,4,19.0
Forecasting,Statistics,4,19.0
Git,Machine Learning,4,19.0
Git,Statistics,4,19.0
Machine Learning,Statistics,4,19.0
APIs,Python,3,14.3
Attention to Detail,SQL,3,14.3
Collaboration,Data Pipelines,3,14.3
Collaboration,Machine Learning,3,14.3
Collaboration,Problem Solving,3,14.3
Communication,Forecasting,3,14.3
Communication,Git,3,14.3
Communication,Problem Solving,3,14.3
Data Modeling,Data Pipelines,3,14.3
Data Modeling,Data Quality,3,14.3
Data Modeling,Python,3,14.3
Data Modeling,SQL,3,14.3
Forecasting,Python,3,14.3
Forecasting,SQL,3,14.3
Git,SQL,3,14.3
Machine Learning,SQL,3,14.3
Power BI,SQL,3,14.3
Python,R,3,14.3
Python,dbt,3,14.3
R,SQL,3,14.3
R,Statistics,3,14.3
SQL,dbt,3,14.3
APIs,Computer Vision,2,9.5
APIs,Deep Learning,2,9.5
APIs,Forecasting,2,9.5
APIs,Machine Learning,2,9.5
APIs,NLP,2,9.5
APIs,Statistics,2,9.5
Attention to Detail,Communication,2,9.5
Attention to Detail,Power BI,2,9.5
Attention to Detail,Python,2,9.5
BigQuery,Data Modeling,2,9.5
BigQuery,Data Pipelines,2,9.5
BigQuery,Data Quality,2,9.5
BigQuery,Python,2,9.5
BigQuery,SQL,2,9.5
BigQuery,dbt,2,9.5
Classification,Data Quality,2,9.5
Classification,Python,2,9.5
Classification,SQL,2,9.5
Classification,Statistics,2,9.5
Collaboration,Data Quality,2,9.5
Collaboration,Excel,2,9.5
Communication,Data Pipelines,2,9.5
Communication,Excel,2,9.5
Computer Vision,Deep Learning,2,9.5
Computer Vision,Forecasting,2,9.5
Computer Vision,Machine Learning,2,9.5
Computer Vision,NLP,2,9.5
Computer Vision,Python,2,9.5
Data Modeling,Statistics,2,9.5
Data Modeling,dbt,2,9.5
Data Pipelines,Hive,2,9.5
Data Pipelines,Power BI,2,9.5
Data Pipelines,Spark,2,9.5
Data Pipelines,dbt,2,9.5
Data Quality,Hive,2,9.5
Data Quality,Power BI,2,9.5
Data Quality,Spark,2,9.5
Data Quality,dbt,2,9.5
Deep Learning,Forecasting,2,9.5
Deep Learning,Machine Learning,2,9.5
Deep Learning,NLP,2,9.5
Deep Learning,Python,2,9.5
Excel,Problem Solving,2,9.5
Forecasting,NLP,2,9.5
Git,Python,2,9.5
Hive,Python,2,9.5
Hive,SQL,2,9.5
Hive,Spark,2,9.5
Hive,Statistics,2,9.5
Machine Learning,NLP,2,9.5
NLP,Python,2,9.5
Pandas,Python,2,9.5
Pandas,SQL,2,9.5
Pandas,Statistics,2,9.5
Power BI,Python,2,9.5
Power BI,Statistics,2,9.5
Problem Solving,Python,2,9.5
Problem Solving,SQL,2,9.5
Problem Solving,Statistics,2,9.5
Python,Spark,2,9.5
SQL,Spark,2,9.5
Spark,Statistics,2,9.5
Statistics,dbt,2,9.5
A/B Testing,Attention to Detail,1,4.8
A/B Testing,Data Pipelines,1,4.8
A/B Testing,Data Quality,1,4.8
A/B Testing,Hive,1,4.8
A/B Testing,Power BI,1,4.8
A/B Testing,Python,1,4.8
A/B Testing,R,1,4.8
A/B Testing,SQL,1,4.8
