rank,skill,category,posting_count,percentage
1,Python,Programming Languages,22,95.7
2,Communication,Soft Skills,17,73.9
3,Problem Solving,Soft Skills,14,60.9
4,Collaboration,Soft Skills,11,47.8
5,Statistics,Statistics and Math,9,39.1
6,Computer Vision,Machine Learning,7,30.4
7,Machine Learning,Machine Learning,7,30.4
8,Deep Learning,Machine Learning,6,26.1
9,Attention to Detail,Soft Skills,5,21.7
10,PyTorch,Machine Learning,5,21.7
11,SQL,Programming Languages,3,13.0
12,APIs,Engineering and Cloud,1,4.3
13,Data Modeling,Engineering and Cloud,1,4.3
14,Data Pipelines,Engineering and Cloud,1,4.3
15,Databricks,Data Tools,1,4.3
16,Excel,Data Tools,1,4.3
17,Forecasting,Machine Learning,1,4.3
18,GIS,Data Tools,1,4.3
19,Git,Engineering and Cloud,1,4.3
20,NLP,Machine Learning,1,4.3
21,Presentation,Soft Skills,1,4.3
22,R,Programming Languages,1,4.3
23,Snowflake,Data Tools,1,4.3
